ID,q,a
419,下列谚语所描述的现象与涉及的物理学知识对应不正确的是( )A.墙内开花墙外香——分子的不规则运动B.真金不怕火炼——火焰的温度高于金的熔点C.小小秤砣压千斤——杠杆平衡原理D.长啸一声，山鸣谷应——声音的多次反射,B.真金不怕火炼——火焰的温度高于金的熔点
420,国内使用的写字粉笔主要有普通粉笔和无尘粉笔两种，其主要成分均为（    ）A.  碳酸钙和硫酸钙B.  氢氧化钙和硫酸钙C.  氯化钙和氢氧化钙D.  氯化钙和碳酸钙,A.  碳酸钙和硫酸钙
421,21世纪以来，量子科技的发展非常迅速，对我们的日常生活产生重要的影响。下列关于量子说法正确的是( )A.量子通信是通过量子力学中量子牵引的属性，来完成相应的信息传递工作B.量子是一个天文物理学概念，是世界上最小的物质C.量子力学有量子叠加和量子牵引两种属性D.量子计算机的一个量子比特既可处于0和1，还可处于0和1两种状态的叠加,D.量子计算机的一个量子比特既可处于0和1，还可处于0和1两种状态的叠加
422,氢气是重要的工业燃料，下列关于氢气的说法正确的是：A.氢气具有助燃性B.可以用排水集气法收集氢气C.我国一般采取电解水的方式制氢D.氢气在自然界中含量很少，故为稀有气体,B.可以用排水集气法收集氢气
423,下列关于生活常识说法错误的是A.老食醋的主要成分是乙酸B.千滚水不可饮用C.热水瓶不灌满水更容易保温D.高渗性脱水时可以补充生理盐水,B.千滚水不可饮用
424,在晴朗的夜晚，偶尔抬头仰望星空，我们可能发现星星在“眨眼睛”，星星为会什么会眨眼睛呢？A、星星在不同时刻释放的能量不同B、亮度不同的星星的光线相互影响的结果C、人们的眼睛要不停地眨，所以看起来星星是在眨眼睛了D、星星穿过大气层时产生折射的结果,D、星星穿过大气层时产生折射的结果
425,形成风的主要原因是（ ）A、空气上升与下降的对流运动B、水平方向上气压的差异C、地势高低的不同D、不同高度空气的密度不同,B、水平方向上气压的差异
426,20世纪60年代出现的“绿色革命”的含义是（ ）A、扩大耕地面积，提高单位产量B、抓好育苗，培育新品种C、改造沙漠，营造人工牧场D、采用农作物高产良种,D、采用农作物高产良种
427,当炉火快要熄灭时，往里面撤一把盐，火将变旺起来，其原因是（ ）A、盐里的水分能燃烧B、盐能助燃C、盐能燃烧；D、盐里的水分助燃,D、盐里的水分助燃
428,下列关于生活常识的说法，错误的是（  ）A.吃松花蛋时佐以食醋，是为了减少松花蛋的涩味B.电灯泡中加入少量红磷，是为了防止灯丝氧化C.纯碱使馒头稀松多孔，是因为化学反应产生二氧化碳D.向保温瓶灌开水时，灌满可以更好地保温,D.向保温瓶灌开水时，灌满可以更好地保温
429,对下列诗词蕴含的化学原理，解释错误的是（  ）A.蜡烛成灰泪始干——烃类的不完全燃烧B.爆竹声中一岁除——爆炸产生二氧化硫C.日照香炉生紫烟——多环芳香烃的升华D.洪炉照破夜沉沉——燃烧释放二氧化碳,C.日照香炉生紫烟——多环芳香烃的升华
430,下列俗语与对应的成语，二者本意所指属于同一物理现象的是（  ）A.宝剑锋从磨砺出——百炼成钢B.酒香不怕巷子深——近朱者赤C.小小秤砣压千斤——举重若轻D.近水楼台先得月——海市蜃楼,B.酒香不怕巷子深——近朱者赤
431,据报道，科学家发现了一种可以合成植物叶绿素的动物——海蛞蝓。海蛞蝓可能是从其吃掉的颤藻等生物身上获取了合成叶绿素的基因。下列有关叙述不合理的是(　 )A．颤藻等原核生物和真核生物都具有DNA和RNA两种核酸B．颤藻与海蛞蝓遗传信息传递的过程相同C．与颤藻相似，海蛞蝓体细胞可能也具有溶酶体和叶绿体D．未合成叶绿素的海蛞蝓不能将光能转化为化学能，但仍能合成ATP,C．与颤藻相似，海蛞蝓体细胞可能也具有溶酶体和叶绿体
432,我国科学家设计了一种可以基因编码的光敏蛋白(PSP)，成功模拟了光合系统的部分过程。在光照条件下，PSP能够将CO2直接还原，使电子传递效率和CO2还原效率明显提高。下列说法错误的是(　 )A．自然光合系统只能还原C3，而光敏蛋白可直接还原CO2B．黑暗条件下自然光合系统中的暗反应可持续进行，而光敏蛋白发挥作用离不开光照C．光敏蛋白与自然光合系统中光合色素、[H]和ATP等物质的功能相似D．该研究为减轻温室效应提供了新思路,B．黑暗条件下自然光合系统中的暗反应可持续进行，而光敏蛋白发挥作用离不开光照
433,我国科研人员在国际上首次发现了位于22号染色体上的抑癌基因DEPDC5，揭示了DEPDC5突变与胃肠道间质细胞癌变的关系。以下相关叙述错误的是(　 )A．胃肠道间质细胞发生癌变，其细胞周期变短，分裂速度明显加快B．癌变的胃肠道间质细胞易扩散和转移，与其细胞膜上糖蛋白减少有关C．DEPDC5编码的蛋白质会促进胃肠道间质细胞的异常增殖D．致癌因子可以引起DEPDC5的突变,C．DEPDC5编码的蛋白质会促进胃肠道间质细胞的异常增殖
434,下列自然保护区和被保护动物的对应，错误的是？A、黑龙江扎龙自然保护区——朱鹮B、珠穆朗玛峰自然保护区——雪豹C、西双版纳自然保护区——犀鸟D、赛罕乌拉自然保护区——金雕,A、黑龙江扎龙自然保护区——朱鹮
435,短道速滑是我国的优势项目，装备包括冰刀、冰鞋和滑冰服装等。关于速滑装备及其原理，下列说法错误的是？A、短道速滑服为紧身连体服，能有效降低风阻力B、冰鞋鞋跟部比较坚硬，是为了包围和固定住脚跟C、速滑刀的刀刃平，是为了保持滑行的良好直线性D、手套指尖加固了一层手扣，可增加弯道扶冰时的摩擦力,D、手套指尖加固了一层手扣，可增加弯道扶冰时的摩擦力
436,关于智能穿戴设备的工作原理下列说法正确的是？A、VR眼镜通过独立显示左、右眼看到的图像实现立体效果B、智能手环利用振动感受器记录手腕动脉跳动实现心率监测C、石墨烯热辐射性能良好，可用于制作可穿戴智能发热织物D、可穿戴体温计吸收目标的红外辐射后获得目标的温度数值,C、石墨烯热辐射性能良好，可用于制作可穿戴智能发热织物
437,下列诗词中，主要涉及化学变化的是？A、无边落木萧萧下，不尽长江滚滚来B、折戟沉沙铁未销，自将磨洗认前朝D、忽如一夜春风来，千树万树梨花开D、零落成泥碾作尘，只有香如故,B、折戟沉沙铁未销，自将磨洗认前朝
438,关于成语中的科学现象，下列说法错误的是？A、“浮光掠影”是光的反射现象B、“并驾齐驱”说明两者是相对静止的C、“余音绕梁”体现了声音的传播和反射D、“以卵击石”中卵相对于石头来说是受力物体,D、“以卵击石”中卵相对于石头来说是受力物体
439,人体的(  )特征人各有异、出生一年后几乎终身不变，采用该部位的图像处理和模式识别方法可以精确鉴定人员身份，具有难以伪造的生物特征识别特性A.指纹B.面部C.骨骼D.虹膜,D.虹膜
440,中国有句古话:________。文明的繁盛、人类的进步，离不开求同存异、开放包容，离不开文明交流、互学互鉴。历史呼唤着人类文明同放异彩，不同文明应和谐共生、相得益彰，共同为人类发展提供精神力量。填入画横线部分最恰当的一项是(  )A.君子坦荡荡，小人长戚戚B.隐恶而扬善，执其两端，用其中于民C.万物并育而不相害，道并行而不相悖D.好学近乎知，力行近乎仁，知耻近乎勇,C.万物并育而不相害，道并行而不相悖
441,下列电池中不能充电的是（  ）A.镍镉电池B.银锌电池C.普通干电池D.铅蓄电池,C.普通干电池
442,关于生活常识，下列表述不正确的是A.打呵欠是一种深呼吸动作，吸入大量氧气，呼出二氧化碳B.向日葵从发芽到花盘盛开之前，其叶子和花盘在白天追随太阳从东转向西C.唐三彩由于斑斓的釉色常常被误认为是瓷器，其实它是陶器D.海水对光的吸收使得大海呈绿色或蓝色，海水深时是绿色，浅时是蓝色,D.海水对光的吸收使得大海呈绿色或蓝色，海水深时是绿色，浅时是蓝色
443,如果父亲和孩子都是A型血，那么孩子的母亲的血型有几种可能？A.四种B.三种C.两种D.一种,A.四种
444,下列说法正确的（    ）A石墨烯属于烯烃，为一种有机物B.碳纳米管和石墨烯互为同分异构体C.天然水晶熔化后再凝固会成为石英玻璃D.石墨和金刚石由不同原子组成因而物理性质不同,C.天然水晶熔化后再凝固会成为石英玻璃
445,中药材的主要来源包括动物、植物、矿物等，下列的属于动物类药材的是？A.田七、阿胶  B.地龙、牛黄C.龙骨、鸡内金  D.蝉衣、决明子,B.地龙、牛黄
446,“客从远方来，遗我双鲤鱼”一句的含义是（ ）A、有客人从远方给我带来两条鲤鱼B、有客人从远方给我带来一封信C、有客人从远方寄给我两条鲤鱼D、有客人从远方寄给我一封信,B、有客人从远方给我带来一封信
447,"已知θ=45⁰, 静摩擦系数fs=1,水平推力F的大小等于物体的重力P的大小,该物块处于（ ）A、下滑 B、上滑 C、静止 D、无法判断",B、上滑
448,在不考虑其他因素的情况下，使用下面哪一个快门速度，最有可能将下图所示的蜻蜓定格在空中___A、1/500B、1/300C、1/120D、1/60,A、1/500
449,“春江潮水连海平，海上明月共潮生”，其中“海上明月”是光的________现象：A.反射B.折射C.散射 D.衍射,A.反射
450,“潭清疑水浅，荷动知鱼散”，其中“疑水浅”是光的________现象：A.反射B.折射C.散射 D.衍射,B.折射
451,"干粉灭火器的正确操作步骤是：
①除掉铅封
②拔掉保险销
③将瓶体颠倒几次，使筒内干粉松动
④左手握着喷管，右手提着压把
⑤在距火焰两米的地方，喷射干粉覆盖燃烧区，直接把火全部扑灭A.①②③④⑤B.②①③④⑤ C.③①②④⑤D.②③①④⑤",C.③①②④⑤
452,20世纪改变人类生产方式和生活方式的高新技术不包括：A.电子计算机 B.遗传工程 C.航天技术 D.相对论,D.相对论
453,随着直播平台的快速崛起，“直播带货”盛行。但据报道，不少商家为了利润，夸大宣传、售卖假冒伪劣商品，严重损害了消费者合法权益，这主要体现了市场调节存在(  )A、灵活性B、滞后性C、自发性 D、盲从性,C、自发性
454,十二生肖中，属于爬行动物的有几种？（  ）A. 一种B. 两种C. 三种D. 四种,A. 一种
455,在潮湿的气候条件下，苔藓枯死；雪松呈褐色伤斑，棉花叶片发白；即各种植物出现“烟斑病”。请问这是那种气体污染的迹象：A．SO2   B.CO2   C.NO2   D.O3,A．SO2 
456,丁香、垂柳萎靡不振，出现“白斑病”说明空气中有哪种气体污染？ A．SO2   B.CO2   C.NO2   D.O3, D.O3
457,酱油中没有的成分是？ A．氨基酸   B.糖类   C.食盐   D.脂肪酸,D.脂肪酸
458,柿饼外的白粉是:A.果糖粉末  B.葡萄糖粉末   C.淀粉   D.蔗糖粉末, B.葡萄糖粉末 
459,"生产面粉的车间严禁吸烟,主要原因是？ A．防止火灾  B.防止爆炸   C.保护环境  D.保护工人免受尼古丁毒害", B.防止爆炸 
460,"用自来水养鱼时,将水注入鱼缸以前需在阳光下曝晒一段时间,目的是: A.使水的硬度变小     B.使水中次氯酸分解 C.起到杀菌作用       D.增加水中O2的含量",B.使水中次氯酸分解
461,目前国外一些专家认为( )是复活水？ A.白开水   B.凉开水   C.茶水   D.矿泉水,D.矿泉水
462,纳兰性德词句“赌书消得泼茶香，当时只道是寻常”运用了古代哪一对恩爱夫妻的典故？A.卓文君和司马相如B.唐琬和陆游C.李清照和赵明诚,C.李清照和赵明诚
463,下列哪一句诗描写的场景最适合采用水墨画来表现？A.落霞与孤鹜齐飞，秋水共长天一色B.返景入深林，复照青苔上C.孤舟蓑笠翁，独钓寒江雪D.接天莲叶无穷碧，映日荷花别样红,C.孤舟蓑笠翁，独钓寒江雪
464,王国维《人间词话》中提到古今成大学问者必经“三种境界”，其中第三境是：A.昨夜西风凋碧树，独上高楼，望尽天涯路B.众里寻他千百度，蓦然回首，那人却在，灯火阑珊处C.衣带渐宽终不悔，为伊消得人憔悴,B.众里寻他千百度，蓦然回首，那人却在，灯火阑珊处
465,辛弃疾词“千金纵买相如赋，脉脉此情谁诉”与哪位历史人物有关：A.班婕妤B.陈阿娇C.梅妃,B.陈阿娇
466,下列诗句中的”刀“，哪一个不是兵器？A.北斗七星高，歌舒夜带刀B.欲将轻骑逐，大雪满弓刀C.并刀如水，吴盐胜雪,C.并刀如水，吴盐胜雪
467,功率可以用千瓦表示，也可以用马力表示，一匹马力约为多少千瓦？A.0.7354 B.0.7462  C.0.8634  D.1.000,A.0.7354
468,涡轮增压是指增大（）的压力A.喷油B.输出动力C.进气D.排气,C.进气
469,第一个拥有汽车的中国人是（）A、慈禧  B、张学良 C、李鸿章D、林则徐,A、慈禧
470,"岳飞的《满江红》中有“壮士饥餐胡虏肉,笑谈渴饮匈奴血”一句，“匈奴”指的是( )统治者?A.契丹   B.女真    C.匈奴   D.鲜卑",   B.女真 
471,《家》《春》《秋》是我国作家巴金的代表作品，合称( )A、激流三部曲 B、革命三部曲 C、爱情三部曲 D、人间三部曲,A、激流三部曲
472,战国四公子”中齐国的孟尝君名为(  )A、魏无忌 B、赵胜 C、田文 D、黄歇,C、田文
473,“君子之交淡若水，小人之交甘若醴”出自下列哪部作品(  )A、《老子》 B、《庄子》 C、《论语》 D、《史记》, B、《庄子》
474,下列哪部作品不属于杜甫的“三别”(  )A、《新婚别》 B、《垂老别》 C、《无家别》 D、《生死别》 ,D、《生死别》 
475,老舍的戏剧作品是： (  )A.《龙须沟》    B.《日出》   C.《四世同堂》　 D.《子夜》,A.《龙须沟》 
476,“如果冬天来了，春天还会远吗?”这句名言出自于英国的哪位作家?  A、雨果 B、拜论 C、雪莱 D、普斯金,C、雪莱
477,下列哪把宝剑是王勃《滕王阁序》里提到的  A、莫邪剑 B、干将剑 C、龙泉剑 D、鱼肠剑,C、龙泉剑
478,下列有关文学常识的表述，不正确的一项是  A.《致大海》的作者是俄国作家普希金，《巴尔扎克的葬词》的作者是福楼拜B.我国文学史上向来以“风骚”并称，“风”指《诗经》，“骚”指《离骚》C.莎士比亚是英国杰出的戏剧家，《奥赛罗》和《李尔王》是其四大悲剧中的两部D.著名作家冰心、丁玲的代表作分别是《繁星》《太阳照在桑干河上》。, A.《致大海》的作者是俄国作家普希金，《巴尔扎克的葬词》的作者是福楼拜
479,泰戈尔于1913年获得诺贝尔文学奖，为其赢得该奖的作品是 A、《飞鸟集》  B、《新月集》  C、《园丁集》  D《吉檀迦利》, D《吉檀迦利》
480,世界文学“四大吝啬鬼”典型形象指的是莎士比亚《威尼斯商人》中的夏洛克、巴尔扎克《欧也妮·葛朗台》中的葛朗台、果戈理《死魂灵》中的泼留希金和莫里哀《悭吝人》中的()A、阿巴公  B、阿里巴巴  C、路易丝  D、夏洛克,A、阿巴公
481,《威尼斯商人》是哪国人的作品?  A.俄国 B.法国 C.英国 D.德国,C.英国
482,碧云天，黄叶地，北雁南飞语出_______?A《木兰诗》 B《西厢记》  C《孔雀东南飞》 D《陌上桑》, B《西厢记》
483,下列酒中最宜在吃海鲜时饮用的是：A啤酒 B干白葡萄酒 C白酒 D红葡萄酒,B干白葡萄酒
484,白菜属于__________科A.豆科      B.菊科     C.十字花科      D.蔷薇科,  C.十字花科 
485,国际贸易的理论基础是? A、重商主义 B 、比较优势理论C、新贸易保护理论 D、绝对优势理论,B 、比较优势理论
486,关贸总协定缔约方，在哪一回合谈判中正式建立WTO?  A、东京回合  B 、日内瓦回合  C 、乌拉圭回合 D、 新家坡回合,C 、乌拉圭回合
487,"下列选项中,属于民事法律关系的是( )?A、公民甲向税务机关纳税 B、政府向某灾区捐款   C、公民乙向山区某小学捐款   D、违章司机丙被交警罚款", C、公民乙向山区某小学捐款  
488,《海洋法公约》中关于毗邻区的规定、是指从领海基线算起不超过——海里?  A、12海里     B、200海里    C、24海里   D、36海里, C、24海里
489,将万民法改称为国际法的著名法学家是?  A、格老休斯     B、边沁   C、奥斯汀    D、凯尔逊, B、边沁
490,“要使事物合乎正义，须有毫无偏私的权衡，法恰恰是这样一个中道的权衡。”是谁所言?    A亚理士多德    B格老休斯   C柏拉图    D休昔底德,A亚理士多德 
491,______是世界上迄今为止保存的最完整的最早的一部成文法典A《汉莫拉比法典》 B 《摩奴法典》 C《十二铜表法》 D《国法大全》,A《汉莫拉比法典》
492,我国的现行宪法是1982年12月4日通过实行的，这是新中国第______部宪法   A、三     B、四    C、五     D、六, B、四 
493,一艘宇宙飞船关闭发动机后在大气层外绕地球飞行，飞船内可能出现的现象是： A.物体的质量消失 B. 物体自由下落的速度变快   C. 蜡烛正常燃烧; D. 水滴呈球形漂浮在空气中,D. 水滴呈球形漂浮在空气中
494,[身体表面有角质化的构造、上下颚无齿、所有种类俱为卵生]。下列哪些符合这个 A.鳄目 B.有鳞目 C.鸟纲 D.哺乳纲,C.鸟纲 
495,蜂鸟心脏的跳动频率： A.较鸵鸟心脏的跳动频率高 B.较鸵鸟心脏的跳动频率低C.等于鸵鸟心脏的跳动频率 D.蜂鸟心脏跳动频率无法测定,A.较鸵鸟心脏的跳动频率高
496,蚯蚓的血是什么颜色   A.白色 B.蓝色 C.红色 D.黑色,C.红色
497,康有为的维新思想吸收了西方资本主义政治学说的内容其中最主要的是()A民主共和思想  B三权分立学说  C君主立宪思想  D人文主义思想, C君主立宪思想
498,1952年底我国已基本完成了土地改革，至此确立了()A生产资料公有制     B人民公社体制 C农民阶级土地所有制 D家庭联产承包责任制, C农民阶级土地所有制
499,《1844年经济学手稿》的作者是：A.马克思 B. 恩格斯 C. 列宁 D.斯大林,A.马克思
500,“我爱吾师，我更爱智慧。”是下列哪位哲学家说的：A.苏格拉底   B.亚历士多德   C. 尼采   D. 阿纳克萨格拉,A.苏格拉底 
501,泰勒斯认为万物之源是： A.水 B. 火 C. 风 D. 原子,A.水
502,哪位哲学家每天下午三点准时出来散步，以至于邻居一直用他来调表：A.黑格尔 B. 谢林 C. 康德 D. 斯宾诺莎,C. 康德
503,大笨钟是英国伦敦著名的建筑物，钟体重达13吨，大笨钟名字的由来是? A.纪念钟塔工程负责人 B.纪念钟塔的建造地点C.因为英国人觉得它太大D、太笨重了,A.纪念钟塔工程负责人
504,琵琶曲《十面埋伏》描述的是(  )的情景A.淝水之战 B.赤壁之战 C.巨鹿之战 D.垓下之战,D.垓下之战
505,我国传统工艺有“三绝”，下列不是的是?A.北京景泰蓝 B.江西景德镇瓷器 C.福州脱胎瓷器 D.江苏宜兴紫砂,D.江苏宜兴紫砂
506,中国古代中最早提到小孔成像的原理的著作是? A.《九章算术》 B.《墨经》 C.《天工开物》 D.《四库全书》, B.《墨经》 
507,1869年3月，谁正式公布了元素周期律? A.巴斯特 B.康特尔 C.门捷列夫 D.居里夫人, C.门捷列夫
508,最早到纽约定居的欧洲人民是? A.英国人 B.法国人 C.荷兰人 D.西班牙人,C.荷兰人
509,巴黎圣母院是什么式建筑的代表作? A.巴洛克 B.洛可可 C.哥特,C.哥特
510,世界上有两部同名小说《狂人日记》，它们的作者分别是鲁迅和谁? A.巴尔扎克 B.莫泊桑 C.屠格涅夫 D.果戈理,D.果戈理
511,我国有“留学生”一词来源于何时? A.汉朝      B.唐朝     C.宋朝      D.明朝,B.唐朝 
512,“天生我材必有用，千金散尽还复来”是出自?A.《将进酒》 B.《梦游天姥吟留别》 C.《蜀道难》  D.《叨叨令》,A.《将进酒》
513,中国人民政治协商会议是()A.权力机关 B.政权组织形式   C.爱国统一战线组织   D.民间社团组织,C.爱国统一战线组织 
514,五大淡水湖中面积最大的是 A.鄱阳湖           B.洞庭湖          C.洪湖        D.青岛湖,A.鄱阳湖 
515,世界上最靠北的首都是 A、莫斯科 B、雷克亚未克 C、伦敦 D、赫尔辛基,、雷克亚未克
516,《孙子兵法》有多少篇? A.10      B.13           C.16            D.18,  B.13    
517,纸张取代简牍成为最主要的书写材料是在( )A.战国时期　　B.秦汉时期　 C.魏晋南北朝时期　　D.隋唐时期,C.魏晋南北朝时期　
518,美国学者罗伯特通过比较研究认为：“近代世界赖于建立的种种基本发明与发现，可能有一半以上源于中国。”下列“源于中国”且对“近代世界”的建立产生了深刻影响的发明是：A、指南针        B、地动仪       C、内燃机        D、电动机,A、指南针  
519,1940年5月13日，邱吉尔在下院发表演说时讲道：“我们没有别的，只有热血、辛劳、眼泪和汗水贡献给大家。你们问我的政策是什么，我说我们的政策就是……”。这里所说的“我们的政策”是指()A.绥靖政策     B.抵抗政策       C.中立政策     D.冷战政策, B.抵抗政策 
520,黄河注入____海A.渤海       B.黄海         C.东海          D.南海,A.渤海  
521,武汉长江第一大桥是跨武汉的那两个地区? A.汉口和汉阳     B.武昌和汉口    C. 汉阳和武昌    D.武昌和江夏,C. 汉阳和武昌 
522,俄罗斯的那一条河流经圣彼得堡?A.伏尔加河         B.多瑙河       C.涅瓦河      D.叶琳娜河,C.涅瓦河
523,黑子是太阳活动的基本标志，常常与（ ）相伴发生A. 耀斑B. 日珥C. 太阳风D. 带电粒子流 ,A. 耀斑
524,下列古诗词对应的科学知识，正确的是？A.朝辞白帝彩云间，千里江陵一日还——机械运动B.八月秋高风怒号，卷我屋上三重茅——惯性C.月落乌啼霜满天——液化D.可怜九月初三夜，露似真珠月似弓——凝华,A.朝辞白帝彩云间，千里江陵一日还——机械运动
525,诗句中包含许多科学知识，下列诗句所蕴含的科学知识不正确是（　　）A．“遥知不是雪，为有暗香来“--分子扩散运动B．“举杯邀明月，对影成三人”--平面镜成像C．“路人借问摇招手，怕得鱼惊不应人”--水能传声D．“莫道昆明池水浅，观鱼胜似富春江”--光的折射,B．“举杯邀明月，对影成三人”--平面镜成像
526,下面诗句中蕴涵的物理知识的理解，正确的是（　　）A．“露似珍珠月似弓”--露实际是小水珠，是由冰熔化形成B．“满架蔷薇一院香”说明分子在做规则运动C．“千里冰封，万里雪飘”，其中冰和雪都是水凝固形成的D．“孤帆一片日边来”，“孤帆”运动，是以江岸为参照物的,D．“孤帆一片日边来”，“孤帆”运动，是以江岸为参照物的
527,下列用电器中，主要把电能转化为机械能的是（　　）A．电视机B．电热毯C．电风扇D．电脑,C．电风扇
528,下列说法中错误的是（　　）A．电热水器是利用电流的热效应来工作的B．发电机是利用电磁感应现象制成的C．电动机工作时将机械能转化为电能D．指南针利用了磁体能够指南北的性质,C．电动机工作时将机械能转化为电能
529,“朝辞白帝彩云间，千里江陵一日还。两岸猿声啼不住，轻舟已过万重山。”描述的是哪条江？A. 长江B. 黄河C. 珠江D. 闽江,A. 长江
530,“一道残阳铺水中，半江瑟瑟半江红。”描述的是哪种自然现象？A. 光的折射B. 光的反射C. 光的散射D. 光的衍射,B. 光的反射
531,大漠沙如雪，燕山月似钩。”这里使用的修辞手法是？A. 比喻B. 拟人C. 夸张D. 对偶,A. 比喻
532,“千里莺啼绿映红，水村山郭酒旗风。”描述的是哪个季节的景色？A. 春季B. 夏季C. 秋季D. 冬季,A. 春季
533,“月上柳梢头，人约黄昏后。”描述的是哪个时间段？A. 日出时分B. 正午时分C. 黄昏时分D. 子夜时分,D. 子夜时分
534,“黄梅时节家家雨，青草池塘处处蛙。”描述的是哪个节气？A. 春分B. 谷雨C. 立夏D. 夏至,B. 谷雨
535,“白日依山尽，黄河入海流。”中，“黄河入海流”的原因是？A. 地心引力作用B. 海潮的涨落作用C. 地壳运动的结果D. 水循环的推动作用,A. 地心引力作用
536,“半亩方塘一鉴开，天光云影共徘徊。”这里用了哪种修辞手法？A. 比拟B. 借代C. 夸张D. 对偶,D. 对偶
537,电子显微镜的分辨率通常比光学显微镜更高，主要原因是A. 电子显微镜使用的光源更亮B. 电子显微镜的透镜焦距更长C. 电子显微镜使用的电子束波长更短D. 电子显微镜的透镜数量更多,C. 电子显微镜使用的电子束波长更短
538,智能手机触摸屏能够感知手指触摸的原因是A. 电容效应B. 压电效应C. 热电效应D. 光电效应,A. 电容效应
539,下列关于计算机存储器的描述中，错误的是A. 硬盘的读取速度比闪存更快B. CD-ROM是一种只读存储器C. RAM是计算机的随机存取存储器D. ROM是计算机的只读存储器,A. 硬盘的读取速度比闪存更快
540,以下关于光纤通信的描述中，正确的是A. 光纤通信是利用光在空气中传播来传递信息B. 光纤通信是利用光在玻璃中传播来传递信息C. 光纤通信是利用光在塑料中传播来传递信息D. 光纤通信是利用光在金属中传播来传递信息,B. 光纤通信是利用光在玻璃中传播来传递信息
541,雷达的工作原理是利用电磁波的A. 反射特性来探测目标B. 折射特性来探测目标C. 干涉特性来探测目标D. 衍射特性来探测目标,A. 反射特性来探测目标
542,“月落乌啼霜满天”中，“霜”的形成与下列哪个物态变化有关？A. 凝固B. 升华C. 凝华D. 汽化,C. 凝华
543,“白日依山尽，黄河入海流”描述的是地球上的哪种自然现象？A. 昼夜交替B. 山岳的形成C. 河流的流动D. 海水的涨潮和落潮,C. 河流的流动
544,“一道残阳铺水中，半江瑟瑟半江红”中，“瑟瑟”形容的是水的哪种状态？A. 固态B. 液态C. 气态D. 固态和液态共存,B. 液态
545,“千里莺啼绿映红，水村山郭酒旗风”中，“莺啼”是指哪种动物的叫声？A. 黄莺B. 燕子C. 喜鹊D. 麻雀,A. 黄莺
546,“朝辞白帝彩云间，千里江陵一日还”中，“一日还”所描述的时间大约为多少小时？A. 24小时B. 12小时C. 8小时D. 16小时,B. 12小时
547,“黄河之水天上来，奔流到海不复回”中，“天上来”指的是黄河的源头，“奔流到海不复回”描述的是水循环中的哪种现象？A. 地表径流B. 水汽输送C. 水汽蒸发D. 地下水循环,A. 地表径流
548,“窗含西岭千秋雪，门泊东吴万里船”中，“窗含西岭千秋雪”描述的是哪种自然景观？A. 高山雪景B. 江面雾景C. 河谷雨景D. 湖面倒影,A. 高山雪景
549,“落霞与孤鹜齐飞，秋水共长天一色”中，“孤鹜”指的是哪种鸟类？A. 白鹭B. 大雁C. 野鸭D. 鹭鸶,B. 大雁
550,“绿蚁新醅酒，红泥小火炉”中，“绿蚁”是指什么？A. 新酿的米酒上的绿色泡沫B. 新酿的果酒上的绿色霉菌C. 新酿的黄酒上的黄色泡沫D. 新酿的啤酒上的白色泡沫,A. 新酿的米酒上的绿色泡沫
551,“忽如一夜春风来，千树万树梨花开”中，“梨花”实际上是指什么？A. 梨树的花朵B. 雪花落在树枝上形成的白色覆盖物C. 白鹤停留在树枝上形成的白色覆盖物D. 蜜蜂落在树枝上形成的白色覆盖物,B. 雪花落在树枝上形成的白色覆盖物
